"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
2;"Switzerland";"Zürich (ZH)";"Niederweningen";"E8.36898";"N47.50414";;
2;"Switzerland";"Zürich (ZH)";"Oberglatt ZH";"E8.52072";"N47.47663";;
2;"Switzerland";"Zürich (ZH)";"Oberweningen";"E8.40736";"N47.50377";;
2;"Switzerland";"Zürich (ZH)";"Otelfingen";"E8.38712";"N47.46190";;
2;"Switzerland";"Zürich (ZH)";"Regensberg";"E8.43881";"N47.48314";;
2;"Switzerland";"Zürich (ZH)";"Regensdorf";"E8.46558";"N47.43068";;
2;"Switzerland";"Zürich (ZH)";"Watt";"E8.48129";"N47.44281";;
2;"Switzerland";"Zürich (ZH)";"Adlikon b. Regensdorf";"E8.46649";"N47.44813";;
2;"Switzerland";"Zürich (ZH)";"Rümlang";"E8.53270";"N47.45169";;
2;"Switzerland";"Zürich (ZH)";"Schleinikon";"E8.39150";"N47.49809";;
2;"Switzerland";"Zürich (ZH)";"Schöfflisdorf";"E8.41688";"N47.50006";;
2;"Switzerland";"Zürich (ZH)";"Stadel b. Niederglatt";"E8.46607";"N47.52714";;
2;"Switzerland";"Zürich (ZH)";"Windlach";"E8.47496";"N47.54114";;
2;"Switzerland";"Zürich (ZH)";"Steinmaur";"E8.45566";"N47.49912";;
2;"Switzerland";"Zürich (ZH)";"Sünikon";"E8.43590";"N47.49070";;
2;"Switzerland";"Zürich (ZH)";"Weiach";"E8.43790";"N47.55762";;
2;"Switzerland";"Zürich (ZH)";"Bäretswil";"E8.85577";"N47.33753";;
2;"Switzerland";"Zürich (ZH)";"Adetswil";"E8.84040";"N47.34052";;
2;"Switzerland";"Zürich (ZH)";"Bubikon";"E8.81722";"N47.26900";;
2;"Switzerland";"Zürich (ZH)";"Wolfhausen";"E8.80008";"N47.25655";;
2;"Switzerland";"Zürich (ZH)";"Tann";"E8.85155";"N47.26354";;
2;"Switzerland";"Zürich (ZH)";"Dürnten";"E8.84318";"N47.27813";;
2;"Switzerland";"Zürich (ZH)";"Steg im Tösstal";"E8.93235";"N47.35391";;
2;"Switzerland";"Zürich (ZH)";"Fischenthal";"E8.91932";"N47.33147";;
2;"Switzerland";"Zürich (ZH)";"Gibswil";"E8.91528";"N47.31395";;
2;"Switzerland";"Zürich (ZH)";"Bertschikon (Gossau ZH)";"E8.75728";"N47.32095";;
2;"Switzerland";"Zürich (ZH)";"Grüt (Gossau ZH)";"E8.78201";"N47.31104";;
2;"Switzerland";"Zürich (ZH)";"Gossau ZH";"E8.76270";"N47.30104";;
2;"Switzerland";"Zürich (ZH)";"Ottikon (Gossau ZH)";"E8.77937";"N47.29648";;
2;"Switzerland";"Zürich (ZH)";"Grüningen";"E8.76192";"N47.28479";;
2;"Switzerland";"Zürich (ZH)";"Hinwil";"E8.84720";"N47.30118";;
2;"Switzerland";"Zürich (ZH)";"Wernetshausen";"E8.86644";"N47.29897";;
2;"Switzerland";"Zürich (ZH)";"Rüti ZH";"E8.84916";"N47.25910";;
2;"Switzerland";"Zürich (ZH)";"Aathal-Seegräben";"E8.76962";"N47.33944";;
2;"Switzerland";"Zürich (ZH)";"Wald ZH";"E8.91595";"N47.27704";;
2;"Switzerland";"Zürich (ZH)";"Laupen ZH";"E8.92831";"N47.26510";;
2;"Switzerland";"Zürich (ZH)";"Wetzikon ZH";"E8.80637";"N47.32238";;
2;"Switzerland";"Zürich (ZH)";"Wetzikon ZH";"E8.82141";"N47.33217";;
2;"Switzerland";"Zürich (ZH)";"Adliswil";"E8.52231";"N47.31284";;
2;"Switzerland";"Zürich (ZH)";"Kilchberg ZH";"E8.54283";"N47.32041";;
2;"Switzerland";"Zürich (ZH)";"Langnau am Albis";"E8.53458";"N47.28824";;
2;"Switzerland";"Zürich (ZH)";"Oberrieden";"E8.57670";"N47.27701";;
2;"Switzerland";"Zürich (ZH)";"Richterswil";"E8.70095";"N47.20826";;
2;"Switzerland";"Zürich (ZH)";"Samstagern";"E8.67834";"N47.19458";;
2;"Switzerland";"Zürich (ZH)";"Rüschlikon";"E8.55489";"N47.30932";;
